epoch,batch_size,train_loss,train_acc,val_acc
1.0,128.0,0.6854636160618706,0.5929602888086642,0.6054852320675106
2.0,128.0,0.6741192583286088,0.6067990373044525,0.6054852320675106
3.0,128.0,0.6672934059918859,0.6067990373044525,0.6054852320675106
4.0,128.0,0.6617289951562021,0.6067990373044525,0.6054852320675106
5.0,128.0,0.6522429962020488,0.6067990373044525,0.6054852320675106
6.0,128.0,0.6299760917607341,0.6098074608904934,0.6139240506329114
7.0,128.0,0.591548898661897,0.6582430806257521,0.689873417721519
8.0,128.0,0.5226609562708583,0.7590252707581228,0.7468354430379747
9.0,128.0,0.44243777217847774,0.8107701564380265,0.759493670886076
10.0,128.0,0.3772908451683398,0.8426594464500602,0.7531645569620253
11.0,128.0,0.3382518370731069,0.8631167268351384,0.759493670886076
12.0,128.0,0.3055874262762701,0.8775571600481348,0.7658227848101266
13.0,128.0,0.278202297813769,0.8865824308062575,0.770042194092827
14.0,128.0,0.24773092272049252,0.9043321299638989,0.759493670886076
15.0,128.0,0.22268024608761824,0.9181708784596871,0.7510548523206751
16.0,128.0,0.20024231985372756,0.9268953068592057,0.7573839662447257
17.0,128.0,0.1818532364355528,0.9383273164861613,0.7573839662447257
18.0,128.0,0.1591920021531384,0.9449458483754513,0.7447257383966245
